Day, Cases, New Cases, Recovered, Population
0, 109, 9, 0, 8000000000
1, 119, 10, 0, 8000000000
2, 129, 10, 0, 8000000000
3, 140, 11, 0, 8000000000
4, 152, 12, 0, 8000000000
5, 166, 14, 0, 8000000000
6, 181, 15, 0, 8000000000
7, 197, 16, 0, 8000000000
8, 215, 18, 0, 8000000000
9, 234, 19, 0, 8000000000
10, 255, 21, 0, 8000000000
11, 278, 23, 0, 8000000000
12, 303, 25, 0, 8000000000
13, 230, 27, 100, 8000000000
14, 242, 21, 109, 8000000000
15, 254, 22, 119, 8000000000
16, 267, 23, 129, 8000000000
17, 280, 24, 140, 8000000000
18, 293, 25, 152, 8000000000
19, 306, 27, 166, 8000000000
20, 319, 28, 181, 8000000000
21, 332, 29, 197, 8000000000
22, 344, 30, 215, 8000000000
23, 356, 31, 234, 8000000000
24, 367, 32, 255, 8000000000
25, 377, 33, 278, 8000000000
26, 386, 34, 303, 8000000000
27, 394, 35, 330, 8000000000
28, 409, 36, 351, 8000000000
29, 424, 37, 373, 8000000000
30, 440, 39, 396, 8000000000
31, 456, 40, 420, 8000000000
32, 473, 42, 445, 8000000000
33, 489, 43, 472, 8000000000
34, 506, 45, 500, 8000000000
35, 523, 46, 529, 8000000000
36, 541, 48, 559, 8000000000
37, 559, 49, 590, 8000000000
38, 578, 51, 622, 8000000000
39, 598, 53, 655, 8000000000
40, 619, 55, 689, 8000000000
41, 641, 57, 724, 8000000000
42, 664, 59, 760, 8000000000
43, 688, 61, 797, 8000000000
44, 712, 63, 836, 8000000000
45, 737, 65, 876, 8000000000
46, 763, 68, 918, 8000000000
47, 790, 70, 961, 8000000000
48, 817, 72, 1006, 8000000000
49, 846, 75, 1052, 8000000000
50, 876, 78, 1100, 8000000000
51, 907, 80, 1149, 8000000000
52, 939, 83, 1200, 8000000000
53, 972, 86, 1253, 8000000000
54, 1006, 89, 1308, 8000000000
55, 1041, 92, 1365, 8000000000
56, 1078, 96, 1424, 8000000000
57, 1116, 99, 1485, 8000000000
58, 1155, 102, 1548, 8000000000
59, 1196, 106, 1613, 8000000000
60, 1238, 110, 1681, 8000000000
61, 1282, 114, 1751, 8000000000
62, 1328, 118, 1823, 8000000000
63, 1375, 122, 1898, 8000000000
64, 1423, 126, 1976, 8000000000
65, 1474, 131, 2056, 8000000000
66, 1527, 136, 2139, 8000000000
67, 1581, 140, 2225, 8000000000
68, 1637, 145, 2314, 8000000000
69, 1696, 151, 2406, 8000000000
70, 1756, 156, 2502, 8000000000
71, 1819, 162, 2601, 8000000000
72, 1884, 167, 2703, 8000000000
73, 1951, 173, 2809, 8000000000
74, 2021, 180, 2919, 8000000000
75, 2093, 186, 3033, 8000000000
76, 2168, 193, 3151, 8000000000
77, 2246, 200, 3273, 8000000000
78, 2327, 207, 3399, 8000000000
79, 2410, 214, 3530, 8000000000
80, 2496, 222, 3666, 8000000000
81, 2586, 230, 3806, 8000000000
82, 2679, 238, 3951, 8000000000
83, 2775, 247, 4102, 8000000000
84, 2875, 256, 4258, 8000000000
85, 2978, 265, 4420, 8000000000
86, 3085, 274, 4587, 8000000000
87, 3196, 284, 4760, 8000000000
88, 3310, 294, 4940, 8000000000
89, 3429, 305, 5126, 8000000000
90, 3552, 316, 5319, 8000000000
91, 3679, 327, 5519, 8000000000
92, 3811, 339, 5726, 8000000000
93, 3948, 351, 5940, 8000000000
94, 4090, 364, 6162, 8000000000
95, 4237, 377, 6392, 8000000000
96, 4390, 391, 6630, 8000000000
97, 4548, 405, 6877, 8000000000
98, 4711, 419, 7133, 8000000000
99, 4880, 434, 7398, 8000000000
100, 5056, 450, 7672, 8000000000
101, 5238, 466, 7956, 8000000000
102, 5427, 483, 8250, 8000000000
103, 5622, 500, 8555, 8000000000
104, 5824, 518, 8871, 8000000000
105, 6034, 537, 9198, 8000000000
106, 6251, 556, 9537, 8000000000
107, 6476, 576, 9888, 8000000000
108, 6709, 597, 10252, 8000000000
109, 6951, 619, 10629, 8000000000
110, 7201, 641, 11020, 8000000000
111, 7460, 664, 11425, 8000000000
112, 7729, 688, 11844, 8000000000
113, 8008, 713, 12278, 8000000000
114, 8297, 739, 12728, 8000000000
115, 8596, 765, 13194, 8000000000
116, 8906, 793, 13677, 8000000000
117, 9227, 821, 14177, 8000000000
118, 9560, 851, 14695, 8000000000
119, 9905, 882, 15232, 8000000000
120, 10263, 914, 15788, 8000000000
121, 10634, 947, 16364, 8000000000
122, 11018, 981, 16961, 8000000000
123, 11415, 1016, 17580, 8000000000
124, 11827, 1053, 18221, 8000000000
125, 12254, 1091, 18885, 8000000000
126, 12696, 1130, 19573, 8000000000
127, 13154, 1171, 20286, 8000000000
128, 13628, 1213, 21025, 8000000000
129, 14120, 1257, 21790, 8000000000
130, 14630, 1303, 22583, 8000000000
131, 15159, 1350, 23404, 8000000000
132, 15706, 1398, 24255, 8000000000
133, 16273, 1449, 25137, 8000000000
134, 16860, 1501, 26051, 8000000000
135, 17468, 1555, 26998, 8000000000
136, 18099, 1612, 27979, 8000000000
137, 18753, 1670, 28995, 8000000000
138, 19430, 1730, 30048, 8000000000
139, 20132, 1793, 31139, 8000000000
140, 20859, 1857, 32269, 8000000000
141, 21612, 1924, 33440, 8000000000
142, 22393, 1994, 34653, 8000000000
143, 23202, 2066, 35910, 8000000000
144, 24040, 2141, 37213, 8000000000
145, 24908, 2218, 38563, 8000000000
146, 25808, 2298, 39961, 8000000000
147, 26740, 2381, 41410, 8000000000
148, 27706, 2467, 42911, 8000000000
149, 28707, 2556, 44466, 8000000000
